symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2018-11-05 00:00:00+00:00,201.59,204.39,198.17,204.3,66163669,48.3962048985,49.0684077544,47.5751571245,49.046801234,264654676,0.0,1.0
AAPL,2018-11-06 00:00:00+00:00,203.77,204.72,201.69,201.92,31882881,48.9195628363,49.1476316624,48.4202121433,48.4754288065,127531524,0.0,1.0
AAPL,2018-11-07 00:00:00+00:00,209.95,210.06,204.13,205.97,33424434,50.4032105682,50.4296185375,49.0059889177,49.447722223,133697736,0.0,1.0
AAPL,2018-11-08 00:00:00+00:00,208.49,210.12,206.75,209.98,25362636,50.2279576807,50.6206459201,49.8087690081,50.5869180958,101450544,0.73,1.0
AAPL,2018-11-09 00:00:00+00:00,204.47,206.01,202.25,205.55,34365750,49.2594872991,49.6304933657,48.7246603719,49.5196733718,137463000,0.0,1.0
AAPL,2018-11-12 00:00:00+00:00,194.17,199.85,193.79,199.0,51135518,46.7780830873,48.1464690992,46.6865361358,47.9416930235,204542072,0.0,1.0
AAPL,2018-11-13 00:00:00+00:00,192.23,197.18,191.45,191.63,46882936,46.3107118086,47.5032313084,46.122799645,46.1661639904,187531744,0.0,1.0
AAPL,2018-11-14 00:00:00+00:00,186.8,194.48,185.93,193.9,60800957,45.0025540542,46.8527661267,44.7929597179,46.7130365691,243203828,0.0,1.0
AAPL,2018-11-15 00:00:00+00:00,191.41,191.97,186.9,188.39,46478801,46.1131631238,46.2480744207,45.0266453572,45.3856057723,185915204,0.0,1.0
AAPL,2018-11-16 00:00:00+00:00,193.53,194.97,189.46,190.5,36928253,46.6238987479,46.9708135115,45.6433827147,45.8939322662,147713012,0.0,1.0
AAPL,2018-11-19 00:00:00+00:00,185.86,190.7,184.99,190.0,41920872,44.7760958058,45.9421148723,44.5665014694,45.7734757511,167683488,0.0,1.0
AAPL,2018-11-20 00:00:00+00:00,176.98,181.47,175.51,178.37,67825247,42.636788097,43.7184876029,42.2826459425,42.971657209,271300988,0.0,1.0
AAPL,2018-11-21 00:00:00+00:00,176.78,180.27,176.55,179.73,31124210,42.5886054909,43.4293919666,42.533195494,43.2992989302,124496840,0.0,1.0
AAPL,2018-11-23 00:00:00+00:00,172.29,176.595,172.1,174.94,23623972,41.506905985,42.5440365803,41.4611325093,42.1453255152,94495888,0.0,1.0
AAPL,2018-11-26 00:00:00+00:00,174.62,174.95,170.26,174.24,44998520,42.0682333455,42.1477346455,41.0178525336,41.976686394,179994080,0.0,1.0
AAPL,2018-11-27 00:00:00+00:00,174.24,174.77,170.88,171.51,41387377,41.976686394,42.1043703001,41.1672186123,41.3189938214,165549508,0.0,1.0
AAPL,2018-11-28 00:00:00+00:00,180.94,181.29,174.93,176.73,46062539,43.5908036968,43.6751232574,42.1429163849,42.5765598394,184250156,0.0,1.0
AAPL,2018-11-29 00:00:00+00:00,179.55,182.8,177.7,182.66,41769992,43.2559345848,44.0389019331,42.8102454788,44.0051741089,167079968,0.0,1.0
AAPL,2018-11-30 00:00:00+00:00,178.58,180.33,177.03,180.29,39531549,43.0222489454,43.4438467484,42.6488337485,43.4342102272,158126196,0.0,1.0
AAPL,2018-12-03 00:00:00+00:00,184.82,184.94,181.21,184.46,40798002,44.5255462543,44.5544558179,43.655850215,44.4388175634,163192008,0.0,1.0
AAPL,2018-12-04 00:00:00+00:00,176.69,182.39,176.27,180.95,41344282,42.5669233182,43.9401275907,42.4657398455,43.5932128271,165377128,0.0,1.0
AAPL,2018-12-06 00:00:00+00:00,174.72,174.78,170.42,171.76,43098410,42.0923246486,42.1067794304,41.0563986184,41.379222079,172393640,0.0,1.0
AAPL,2018-12-07 00:00:00+00:00,168.49,174.49,168.3,173.49,42281631,40.59143647,42.0369146516,40.5456629942,41.7960016213,169126524,0.0,1.0
AAPL,2018-12-10 00:00:00+00:00,169.6,170.09,163.33,165.0,62025994,40.8588499336,40.9768973184,39.3483252338,39.7506499944,248103976,0.0,1.0
AAPL,2018-12-11 00:00:00+00:00,168.63,171.79,167.0,171.66,47281665,40.6251642942,41.3864494699,40.2324760549,41.3551307759,189126660,0.0,1.0
